SHARPs from 2010-07-01 00:00:00 to 2010-09-01 00:00:00
-- Produced by anthony.yeates[at]durham.ac.uk --
11
Grid resolution: 180 x 360, smoothing_param = 4, magtype = los, method = cm, maxlon = 90
Selection criteria: (i) sep > 1 deg,  (ii) |imbalance| <  0.5
Last two columns use 10-year 1D SFT simulation with eta=350 km^2/s, v0=0.015 km/s, p=2.33, no decay term.
------------------------------------------------------
SHARP	NOAA	CM time		Latitude	Carr-Longitude	Unsgnd flux	Imbalance	Dipole		Bip-Separation	Bip-Tilt	Bip-Dipole	Pred-Dip-Real	Pred-Dip-Bip
86	11087	2010-07-15	19.54613	335.25182	1.95216e+22	-0.03835	1.95867e-02	9.15871e+00	1.56801e+01	1.93646e-02	4.27220e-03	3.42800e-03
87	0	2010-07-09	19.51693	100.28446	3.91848e+20	 0.23244	8.97207e-05	1.11349e+00	3.04829e+01	1.01298e-04	1.07087e-05	1.19658e-05
89	11088	2010-07-15	-20.63351	337.39115	8.15913e+20	-0.40480	-6.84262e-05	2.28998e+00	-1.74779e+02	-7.08120e-05	-4.96839e-06	-5.66679e-06
92	11089	2010-07-25	-22.91829	202.40279	1.94877e+22	 0.01027	6.43837e-03	5.22358e+00	1.70813e+02	6.39605e-03	2.33669e-04	2.47204e-04
97	0	2010-07-24	13.35953	220.45732	3.55164e+20	 0.35896	-2.77833e-05	1.33287e+00	-8.06299e+00	-3.81533e-05	-1.99050e-05	-3.29068e-05
98	11090	2010-07-29	22.59698	149.69370	8.30241e+20	-0.15443	7.78096e-04	5.49380e+00	2.54433e+01	7.70424e-04	2.98961e-05	3.51088e-05
104	11092	2010-08-04	15.88787	76.58588	1.34788e+22	-0.07246	3.35847e-02	9.57497e+00	3.89906e+01	3.32080e-02	1.56927e-02	1.99086e-02
114	11095	2010-08-09	-16.66406	 4.49329	4.20801e+21	 0.18145	4.24131e-03	7.90463e+00	1.61973e+02	4.19636e-03	1.43370e-03	1.69979e-03
115	11093	2010-08-10	14.79856	348.17497	1.24532e+22	-0.43217	-3.65518e-03	4.05298e+00	-1.00299e+01	-3.60822e-03	-1.58827e-03	-2.15932e-03
131	11098	2010-08-14	14.04755	302.24201	2.35630e+21	 0.12615	5.15000e-04	3.78241e+00	7.96105e+00	5.10257e-04	4.12412e-04	3.77440e-04
146	11102	2010-08-29	26.59975	103.03594	2.74445e+21	-0.29812	7.67074e-04	3.61982e+00	1.15826e+01	7.54390e-04	8.26204e-06	6.15514e-06
